class,slot,display,verb
business_card,secondary,전화 걸기,
business_card,secondary,메일 초안,
business_card,secondary,회사 위치 지도,
business_card,secondary,vCard 내보내기,
wifi_credentials,secondary,비밀번호 복사,
wifi_credentials,secondary,노트 저장(재방문용),
appliance_nameplate,secondary,매뉴얼 조회,
appliance_nameplate,secondary,보증 등록,
appliance_nameplate,secondary,모델명 복사,
appliance_nameplate,secondary,노트 저장,
care_tag,primary,세탁법 설명 표시,
care_tag,secondary,노트 저장,
care_tag,secondary,의류와 함께 기록,
book_cover,primary,독서 목록에 추가 (자체 저장소),
book_cover,secondary,서점,
book_cover,secondary,도서관 검색,
book_cover,secondary,리뷰 조회,
profile_screenshot,secondary,링크 열기,
profile_screenshot,secondary,노트 저장,
bill_invoice,secondary,계좌번호 복사,
bill_invoice,secondary,캘린더 일정,
bill_invoice,secondary,금액 복사,
event_flyer,secondary,장소 지도,
event_flyer,secondary,사전 알림,
event_flyer,secondary,예매 링크,
appointment_slip,primary,캘린더 일정 + 사전 알림 (전날 + 1시간 전),
appointment_slip,secondary,병원 위치 지도,
appointment_slip,secondary,전화 걸기,
parking_restriction,secondary,주차 위치 좌표 저장,
parking_restriction,secondary,규정 요약 표시,
medication,secondary,약 봉투 사진 보관 (자체 저장소),
delivery_notice,secondary,배송 조회,
delivery_notice,secondary,운송장 복사,
delivery_notice,secondary,재배송 전화,
schedule_table,secondary,이미지 보관,
schedule_table,secondary,개별 항목 선택 추가,
ticket_boarding_pass,primary,캘린더 일정 + 사전 알림,
ticket_boarding_pass,secondary,장소 지도,
ticket_boarding_pass,secondary,항공편 추적,
ticket_boarding_pass,secondary,바코드 이미지 보관,
gift_card_voucher,secondary,코드 보관,
gift_card_voucher,secondary,코드 복사,
gift_card_voucher,secondary,잔액 조회 링크,
booking_screenshot,secondary,장소 지도,
booking_screenshot,secondary,확인번호 복사,
booking_screenshot,secondary,전화 걸기,
warranty_doc,secondary,문서 PDF 보관,
warranty_doc,secondary,제조사 지원 링크,
plant_care_tag,secondary,관리법 표시,
plant_care_tag,secondary,식물 목록 추가,
receipt,secondary,더치페이 계산,
receipt,secondary,환율 환산,
receipt,secondary,경비용 PDF,
receipt,secondary,금액 복사,
receipt,secondary,반품 기한 알림,
device_display,secondary,추이 그래프,
device_display,secondary,CSV 내보내기(진료용),
nutrition_label,secondary,1회 제공량 환산,
nutrition_label,secondary,성분 표시,
document_general,primary,PDF 변환 후 저장,
document_general,secondary,텍스트 추출,
document_general,secondary,요약,
document_general,secondary,공유 시트 내보내기,
workout_display,secondary,추이 그래프,
payment_screenshot,secondary,더치페이 계산,
payment_screenshot,secondary,환율 환산,
payment_screenshot,secondary,경비용 PDF,
payment_screenshot,secondary,금액 복사,
payment_screenshot,secondary,반품 기한 알림,
error_screen,secondary,코드 복사,
error_screen,secondary,제조사 지원 페이지,
error_screen,secondary,노트 저장(AS 문의용),
menu,primary,번역 + 요리 설명,
menu,secondary,가격 환산,
menu,secondary,추천,
menu,secondary,사진 검색,
foreign_sign,secondary,원문 복사,
foreign_sign,secondary,관련 검색,
transit_sign,secondary,정류장 저장,
transit_sign,secondary,경로 안내,
business_hours,primary,영업시간 저장 (자체 저장소),
business_hours,secondary,방문 알림,
business_hours,secondary,지도,
business_hours,secondary,전화,
instruction_manual,primary,단계 요약 표시,
instruction_manual,secondary,PDF 저장,
instruction_manual,secondary,번역,
instruction_manual,secondary,검색,
price_tag,primary,가격 비교 검색,
price_tag,secondary,장보기 목록 추가,
price_tag,secondary,가격 기록,
price_tag,secondary,금액 복사,
product_packaging,primary,제품 검색,
product_packaging,secondary,장보기 목록,
product_packaging,secondary,가격 비교,
product_packaging,secondary,리뷰 조회,
wine_label,primary,와인 정보 조회,
wine_label,secondary,시음 노트 저장,
wine_label,secondary,평점 조회,
wine_label,secondary,구매 링크,
handwritten_note,secondary,할 일 항목별 알림,
handwritten_note,secondary,텍스트 복사,
handwritten_note,secondary,PDF,
lecture_slide,primary,PDF 묶음 생성,
lecture_slide,secondary,텍스트 추출,
lecture_slide,secondary,요약,
lecture_slide,secondary,노트 저장,
code_screenshot,primary,코드 텍스트 복사,
code_screenshot,secondary,노트 저장,
code_screenshot,secondary,문법 강조 표시,
code_screenshot,secondary,검색,
